Player,Score
Josh,358
Luke,718
Kate,519
Mark,387
Mary,801
Josh,727
Luke,313
Kate,228
Mark,82
Mary,320
Josh,715
Luke,761
Kate,281
Mark,850
Mary,913
Josh,158
Luke,782
Kate,491
Mark,698
Mary,288
Josh,661
Luke,150
Kate,374
Mark,886
Mary,528
Josh,530
Luke,125
Kate,817
Mark,500
Mary,609
Josh,346
Luke,539
Kate,958
Mark,531
Mary,520
Josh,252
Luke,475
Kate,800
Mark,123
Mary,708
Josh,102
Luke,565
Kate,422
Mark,706
Mary,635
Josh,718
Luke,128
Kate,105
Mark,677
Mary,966
Josh,348
Luke,510
Kate,780
Mark,956
Mary,292
Josh,290
Luke,290
Kate,41
Mark,206
Mary,808
Josh,911
Luke,731
Kate,361
Mark,224
Mary,183
Josh,699
Luke,796
Kate,928
Mark,93
Mary,606
Josh,150
Luke,753
Kate,908
Mark,605
Mary,147
Josh,21
Luke,655
Kate,427
Mark,577
Mary,434
Josh,49
Luke,42
Kate,285
Mark,976
Mary,607
Josh,874
Luke,983
Kate,626
Mark,891
Mary,548
Josh,478
Luke,316
Kate,40
Mark,769
Mary,731
Josh,172
Luke,223
Kate,124
Mark,846
Mary,456
Josh,299
Luke,699
Kate,229
Mark,885
Mary,197
Josh,992
Luke,669
Kate,706
Mark,441
Mary,295
Josh,828
Luke,705
Kate,411
Mark,696
Mary,456
Josh,893
Luke,449
Kate,551
Mark,42
Mary,71
Josh,92
Luke,498
Kate,587
Mark,680
Mary,215
Josh,363
Luke,261
Kate,240
Mark,231
Mary,450
Josh,584
Luke,513
Kate,686
Mark,419
Mary,27
Josh,143
Luke,860
Kate,901
Mark,31
Mary,414
Josh,785
Luke,592
Kate,975
Mark,64
Mary,967
Josh,648
Luke,900
Kate,136
Mark,878
Mary,740
Josh,4
Luke,54
Kate,180
Mark,389
Mary,725
Josh,642
Luke,118
Kate,24
Mark,507
Mary,33
Josh,594
Luke,363
Kate,932
Mark,743
Mary,735
Josh,652
Luke,116
Kate,742
Mark,151
Mary,612
Josh,179
Luke,70
Kate,506
Mark,885
Mary,105
Josh,195
Luke,82
Kate,296
Mark,965
Mary,417
Josh,357
Luke,863
Kate,944
Mark,840
Mary,880
Josh,404
Luke,431
Kate,990
Mark,343
Mary,148
Josh,328
Luke,165
Kate,918
Mark,783
Mary,184
Josh,844
Luke,262
Kate,739
Mark,929
Mary,47
Josh,831
Luke,770
Kate,498
Mark,51
Mary,340
Josh,937
Luke,768
Kate,105
Mark,21
Mary,576
Josh,529
Luke,470
Kate,740
Mark,43
Mary,698
Josh,877
Luke,400
Kate,541
Mark,1000
Mary,530
Josh,259
Luke,15
Kate,509
Mark,645
Mary,4
Josh,380
Luke,935
Kate,426
Mark,338
Mary,440
Josh,768
Luke,833
Kate,954
Mark,424
Mary,193
Josh,375
Luke,814
Kate,95
Mark,173
Mary,594
Josh,908
Luke,986
Kate,911
Mark,448
Mary,2
Josh,918
Luke,284
Kate,335
Mark,417
Mary,997
Josh,378
Luke,133
Kate,447
Mark,543
Mary,186
Josh,958
Luke,885
Kate,616
Mark,476
Mary,527
Josh,935
Luke,546
Kate,522
Mark,111
Mary,598
Josh,0
Luke,851
Kate,281
Mark,127
Mary,237
Josh,984
Luke,628
Kate,162
Mark,240
Mary,499
Josh,433
Luke,392
Kate,523
Mark,783
Mary,389
Josh,441
Luke,980
Kate,619
Mark,609
Mary,954
Josh,412
Luke,755
Kate,822
Mark,543
Mary,303
Josh,23
Luke,867
Kate,528
Mark,44
Mary,174
Josh,100
Luke,832
Kate,120
Mark,608
Mary,899
Josh,992
Luke,271
Kate,627
Mark,224
Mary,414
Josh,294
Luke,671
Kate,906
Mark,733
Mary,177
Josh,434
Luke,810
Kate,861
Mark,188
Mary,228
Josh,664
Luke,593
Kate,8
Mark,35
Mary,871
Josh,38
Luke,429
Kate,80
Mark,95
Mary,950
Josh,88
Luke,538
Kate,827
Mark,2
Mary,187
Josh,428
Luke,497
Kate,195
Mark,200
Mary,172
Josh,661
Luke,67
Kate,117
Mark,400
Mary,964
Josh,878
Luke,47
Kate,568
Mark,320
Mary,231
Josh,927
Luke,419
Kate,395
Mark,767
Mary,70
Josh,431
Luke,739
Kate,107
Mark,775
Mary,1
Josh,557
Luke,656
Kate,811
Mark,424
Mary,648
Josh,799
Luke,911
Kate,225
Mark,794
Mary,975
Josh,559
Luke,81
Kate,304
Mark,551
Mary,696
Josh,507
Luke,126
Kate,18
Mark,397
Mary,691
Josh,774
Luke,372
Kate,736
Mark,938
Mary,695
Josh,563
Luke,333
Kate,477
Mark,964
Mary,431
Josh,840
Luke,480
Kate,740
Mark,10
Mary,887
Josh,118
Luke,250
Kate,13
Mark,521
Mary,540
Josh,730
Luke,952
Kate,367
Mark,91
Mary,359
Josh,711
Luke,78
Kate,8
Mark,517
Mary,681
Josh,972
Luke,439
Kate,224
Mark,139
Mary,426
Josh,145
Luke,384
Kate,508
Mark,867
Mary,184
Josh,554
Luke,380
Kate,788
Mark,205
Mary,882
Josh,470
Luke,929
Kate,616
Mark,436
Mary,200
Josh,325
Luke,923
Kate,475
Mark,338
Mary,291
Josh,285
Luke,480
Kate,602
Mark,889
Mary,958
Josh,743
Luke,74
Kate,916
Mark,262
Mary,303
Josh,582
Luke,210
Kate,68
Mark,520
Mary,207
Josh,271
Luke,441
Kate,98
Mark,751
Mary,228
Josh,352
Luke,825
Kate,202
Mark,498
Mary,743
Josh,17
Luke,366
Kate,422
Mark,685
Mary,617
Josh,562
Luke,902
Kate,808
Mark,475
Mary,13
Josh,52
Luke,380
Kate,206
Mark,756
Mary,792
Josh,408
Luke,296
Kate,36
Mark,762
Mary,458
Josh,211
Luke,11
Kate,120
Mark,290
Mary,913
Josh,601
Luke,663
Kate,213
Mark,307
Mary,574
Josh,277
Luke,205
Kate,662
Mark,335
Mary,459
Josh,951
Luke,14
Kate,563
Mark,146
Mary,390
Josh,144
Luke,393
Kate,833
Mark,416
Mary,81
